Sample	MAG_name	Gene	Transcript_count	Rel_transcript_per_fam
S10_SRF	FRAM_WSC20_S10_SRF_bin_80_1	CE15	54	34.8387
S10_SRF	FRAM_WSC20_S10_SRF_bin_80_1	GH77	3	27.2727
S10_SRF	FRAM_WSC20_S10_SRF_bin_82_1	GH1	4	0.100857
S10_SRF	FRAM_WSC20_S10_SRF_bin_82_1	GH149	223	3.41605
S10_SRF	FRAM_WSC20_S10_SRF_bin_82_1	GH156	1	0.30581
S10_SRF	FRAM_WSC20_S10_SRF_bin_82_1	GH20	117	1.6458
S10_SRF	FRAM_WSC20_S10_SRF_bin_82_1	GH51	17	2.86678
S10_SRF	FRAM_WSC20_S10_SRF_bin_82_1	GH5_2	29	55.7692
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	CBM6	394	8.89591
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH149	260	3.98284
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH16_3	44	0.915522
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH17	348	7.56029
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH171	171	4.67596
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH18	46	5.21542
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH20	55	0.773667
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH29	433	13.8074
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH30_1	199	4.91965
S10_SRF	FRAM_WSC20_S10_SRF_bin_85_1	GH33	415	18.9844
S10_SRF	FRAM_WSC20_S10_SRF_bin_88_1	CE11	46	0.427987
S10_SRF	FRAM_WSC20_S10_SRF_bin_88_1	GH103	97	1.51562
S10_SRF	FRAM_WSC20_S10_SRF_bin_88_1	GH171	20	0.546896
S10_SRF	FRAM_WSC20_S10_SRF_bin_88_1	GH2	75	1.31073
S10_SRF	FRAM_WSC20_S10_SRF_bin_88_1	GH20	20	0.281334
S10_SRF	FRAM_WSC20_S10_SRF_bin_88_1	GH3	52	0.153564
S10_SRF	FRAM_WSC20_S10_SRF_bin_88_1	GH73	8	0.0989487
S10_SRF	FRAM_WSC20_S25_SRF_bin_4_1	GH2	12	0.209717
S10_SRF	FRAM_WSC20_S25_SRF_bin_42_1	GH3	82	0.242159
S10_SRF	FRAM_WSC20_S25_SRF_bin_49_1	CE11	2	0.0186081
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	CE11	385	3.58206
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	CE14	122	5.30896
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	CE2	103	10
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH10	496	13.8741
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH125	370	18.9549
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH130	110	15.6919
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH149	456	6.98529
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH16_3	47	0.977944
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH17	899	19.5307
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH20	832	11.7035
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH23	141	1.10217
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH3	1901	5.61396
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH43_12	782	63.9411
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH5	408	22.7298
S10_SRF	FRAM_WSC20_S25_SRF_bin_51_1	GH92	2182	13.9371
S10_SRF	FRAM_WSC20_S25_SRF_bin_6_1	CBM32	78	5.93607
S10_SRF	FRAM_WSC20_S25_SRF_bin_6_1	GH92	60	0.38324
S10_SRF	FRAM_WSC20_S25_SRF_bin_75_1	GH23	4	0.0312671
S10_SRF	FRAM_WSC20_S25_SRF_bin_75_1	GH29	84	2.67857
S10_SRF	FRAM_WSC20_S25_SRF_bin_75_1	GH3	59	0.174237
S10_SRF	FRAM_WSC20_S26_BML_bin_30_1	GH102	12	1.52866
S10_SRF	FRAM_WSC20_S26_BML_bin_30_1	GH103	38	0.59375
S10_SRF	FRAM_WSC20_S26_BML_bin_30_1	GH23	39	0.304854
S10_SRF	FRAM_WSC20_S26_BML_bin_49_1	GH1	692	17.4483
S10_SRF	FRAM_WSC20_S26_BML_bin_59_1	CBM32	72	5.47945
S10_SRF	FRAM_WSC20_S26_BML_bin_59_1	CBM67	75	18.9873
S10_SRF	FRAM_WSC20_S26_BML_bin_59_1	CE11	1	0.00930406
S10_SRF	FRAM_WSC20_S26_BML_bin_59_1	GH17	31	0.673474
S10_SRF	FRAM_WSC20_S26_BML_bin_59_1	GH33	27	1.23513
S10_SRF	FRAM_WSC20_S26_BML_bin_61_1	GH106	4	1.27389
S10_SRF	FRAM_WSC20_S26_BML_bin_61_1	GH109	42	1.29231
S10_SRF	FRAM_WSC20_S26_BML_bin_61_1	GH20	7	0.0984667
S10_SRF	FRAM_WSC20_S26_BML_bin_6_1	CE15	4	2.58065
S10_SRF	FRAM_WSC20_S26_BML_bin_6_1	GH106	1	0.318471
S10_SRF	FRAM_WSC20_S26_BML_bin_6_1	GH137	16	53.3333
S10_SRF	FRAM_WSC20_S26_BML_bin_6_1	GH28	149	46.13
S10_SRF	FRAM_WSC20_S26_BML_bin_6_1	GH39	7	5.98291
S10_SRF	FRAM_WSC20_S26_BML_bin_6_1	GH78	32	1.95719
S10_SRF	FRAM_WSC20_S26_BML_bin_85_1	GH23	160	1.25068
S10_SRF	FRAM_WSC20_S26_BML_bin_9_1	GH3	68	0.200815
S10_SRF	FRAM_WSC20_S8_BML_bin_41_1	GH3	4	0.0118127
S10_SRF	FRAM_WSC20_S8_BML_bin_93_1	CE11	21	0.195385
S10_SRF	FRAM_WSC20_S8_BML_bin_93_1	GH13_18	23	2.58718
S10_SRF	FRAM_WSC20_S8_BML_bin_93_1	GH3	1	0.00295316
S25_BML	FRAM_WSC20_S10_BML_bin_158_1	GH36	1	14.2857
S25_BML	FRAM_WSC20_S10_BML_bin_160_1	GH103	1	0.724638
S25_BML	FRAM_WSC20_S10_BML_bin_40_1	GH3	2	3.38983
S25_BML	FRAM_WSC20_S10_BML_bin_40_1	GH73	2	3.22581
S25_BML	FRAM_WSC20_S10_BML_bin_50_1	CE11	1	0.0800641
S25_BML	FRAM_WSC20_S10_BML_bin_54_1	GH13	1	0.740741
S25_BML	FRAM_WSC20_S10_BML_bin_54_1	GH149	5	29.4118
S25_BML	FRAM_WSC20_S10_BML_bin_54_1	GH43	1	25
S25_BML	FRAM_WSC20_S10_BML_bin_70_1	GH103	1	0.724638
S25_BML	FRAM_WSC20_S10_BML_bin_86_1	CE11	2	0.160128
S25_BML	FRAM_WSC20_S10_BML_bin_92_1	CE11	2	0.160128
S25_BML	FRAM_WSC20_S10_SRF_bin_115_1	CE11	1	0.0800641
S25_BML	FRAM_WSC20_S10_SRF_bin_45_1	CE11	1	0.0800641
S25_BML	FRAM_WSC20_S10_SRF_bin_45_1	GH103	1	0.724638
S25_BML	FRAM_WSC20_S10_SRF_bin_65_1	CE11	1	0.0800641
S25_BML	FRAM_WSC20_S10_SRF_bin_85_1	GH171	5	38.4615
S25_BML	FRAM_WSC20_S10_SRF_bin_88_1	GH20	3	21.4286
S25_BML	FRAM_WSC20_S25_BML_bin_106_1	GH23	3	3.48837
S25_BML	FRAM_WSC20_S25_BML_bin_106_1	GH43_5	1	11.1111
S25_BML	FRAM_WSC20_S25_BML_bin_11_1	CE11	4	0.320256
S25_BML	FRAM_WSC20_S25_BML_bin_11_1	GH23	1	1.16279
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	CBM13	2	40
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	CBM6	17	47.2222
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	CE11	545	43.6349
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH1	9	37.5
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH103	57	41.3043
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH105	2	100
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH13	10	7.40741
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH13_18	23	60.5263
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH13_23	84	56.7568
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH13_32	73	100
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH13_36	13	61.9048
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH13_38	1	50
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH146	1	100
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH15	17	58.6207
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH16	1	12.5
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH16_3	3	5.17241
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH20	1	7.14286
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH23	14	16.2791
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH28	1	33.3333
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH3	35	59.322
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH43_4	3	75
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH43_5	5	55.5556
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH73	6	9.67742
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH77	4	2.05128
S25_BML	FRAM_WSC20_S25_BML_bin_129_1	GH97	7	77.7778
S25_BML	FRAM_WSC20_S25_BML_bin_145_1	CBM57	4	57.1429
S25_BML	FRAM_WSC20_S25_BML_bin_145_1	GH23	4	4.65116
S25_BML	FRAM_WSC20_S25_BML_bin_145_1	GH31	1	8.33333
S25_BML	FRAM_WSC20_S25_BML_bin_152_1	GH3	2	3.38983
S25_BML	FRAM_WSC20_S25_SRF_bin_49_1	CE11	2	0.160128
S25_BML	FRAM_WSC20_S25_SRF_bin_51_1	GH149	2	11.7647
S25_BML	FRAM_WSC20_S25_SRF_bin_51_1	GH3	1	1.69492
S25_BML	FRAM_WSC20_S25_SRF_bin_51_1	GH43_12	1	100
S25_BML	FRAM_WSC20_S25_SRF_bin_51_1	GH92	2	16.6667
S25_BML	FRAM_WSC20_S25_SRF_bin_75_1	GH23	2	2.32558
S25_BML	FRAM_WSC20_S25_SRF_bin_75_1	GH3	1	1.69492
S25_BML	FRAM_WSC20_S26_BML_bin_12	CE14	1	33.3333
S25_BML	FRAM_WSC20_S26_BML_bin_30_1	GH23	1	1.16279
S25_BML	FRAM_WSC20_S26_BML_bin_59_1	CBM32	1	50
S25_BML	FRAM_WSC20_S26_BML_bin_85_1	CE11	2	0.160128
S25_BML	FRAM_WSC20_S26_BML_bin_9_1	GH57	2	50
S25_BML	FRAM_WSC20_S26_SRF_bin_76_1	CE11	1	0.0800641
S25_BML	FRAM_WSC20_S26_SRF_bin_76_1	GH103	1	0.724638
S25_BML	FRAM_WSC20_S26_SRF_bin_76_1	GH23	1	1.16279
S25_BML	FRAM_WSC20_S8_BML_bin_37_1	CE11	1	0.0800641
S25_BML	FRAM_WSC20_S8_BML_bin_37_1	GH104	1	50
S25_BML	FRAM_WSC20_S8_BML_bin_41_1	GH3	1	1.69492
S25_BML	FRAM_WSC20_S8_BML_bin_82_1	GH3	1	1.69492
S25_BML	FRAM_WSC20_S8_BML_bin_92_1	GH100	12	52.1739
S25_SRF	FRAM_WSC20_S10_BML_bin_107_1	GH103	275	6.69752
S25_SRF	FRAM_WSC20_S10_BML_bin_107_1	GH36	131	5.03265
S25_SRF	FRAM_WSC20_S10_BML_bin_107_1	GH42	98	7.60279
S25_SRF	FRAM_WSC20_S10_BML_bin_110_1	GH73	30	0.538503
S25_SRF	FRAM_WSC20_S10_BML_bin_14_1	GH13_11	1	3.125
S25_SRF	FRAM_WSC20_S10_BML_bin_157_1	CE11	9	0.0877877
S25_SRF	FRAM_WSC20_S10_BML_bin_158_1	CE11	26	0.253609
S25_SRF	FRAM_WSC20_S10_BML_bin_158_1	GH36	160	6.14675
S25_SRF	FRAM_WSC20_S10_BML_bin_158_1	GH42	238	18.4639
S25_SRF	FRAM_WSC20_S10_BML_bin_160_1	GH102	17	3.49076
S25_SRF	FRAM_WSC20_S10_BML_bin_160_1	GH103	1	0.0243546
S25_SRF	FRAM_WSC20_S10_BML_bin_160_1	GH23	20	0.257732
S25_SRF	FRAM_WSC20_S10_BML_bin_160_1	GH36	5	0.192086
S25_SRF	FRAM_WSC20_S10_BML_bin_160_1	GH42	17	1.31885
S25_SRF	FRAM_WSC20_S10_BML_bin_170_1	GH102	80	16.4271
S25_SRF	FRAM_WSC20_S10_BML_bin_170_1	GH73	3	0.0538503
S25_SRF	FRAM_WSC20_S10_BML_bin_32_1	GH3	125	0.516892
S25_SRF	FRAM_WSC20_S10_BML_bin_36_1	GH1	7	0.436137
S25_SRF	FRAM_WSC20_S10_BML_bin_37_1	GH23	12	0.154639
S25_SRF	FRAM_WSC20_S10_BML_bin_40_1	CE11	8	0.0780336
S25_SRF	FRAM_WSC20_S10_BML_bin_40_1	GH3	21	0.0868379
S25_SRF	FRAM_WSC20_S10_BML_bin_46_1	CE11	6	0.0585252
S25_SRF	FRAM_WSC20_S10_BML_bin_46_1	GH103	1	0.0243546
S25_SRF	FRAM_WSC20_S10_BML_bin_46_1	GH16_3	3	0.0727273
S25_SRF	FRAM_WSC20_S10_BML_bin_46_1	GH3	309	1.27776
S25_SRF	FRAM_WSC20_S10_BML_bin_46_1	GH73	2	0.0359002
S25_SRF	FRAM_WSC20_S10_BML_bin_50_1	CE11	169	1.64846
S25_SRF	FRAM_WSC20_S10_BML_bin_50_1	GH103	113	2.75207
S25_SRF	FRAM_WSC20_S10_BML_bin_50_1	GH149	50	1.46757
S25_SRF	FRAM_WSC20_S10_BML_bin_50_1	GH17	126	4.98615
S25_SRF	FRAM_WSC20_S10_BML_bin_50_1	GH2	1	0.0233372
S25_SRF	FRAM_WSC20_S10_BML_bin_50_1	GH20	48	0.897029
S25_SRF	FRAM_WSC20_S10_BML_bin_50_1	GH23	8	0.103093
S25_SRF	FRAM_WSC20_S10_BML_bin_50_1	GH4	12	13.0435
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH10	171	12.2669
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH13	349	15.6854
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH130	212	50.5967
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH13_31	399	63.9423
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH149	142	4.16789
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH163	448	58.7927
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH17	18	0.712307
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH18	162	7.97244
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH20	122	2.27995
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH3	673	2.78295
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH30_1	133	8.24551
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH43	148	38.4416
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH65	571	42.0781
S25_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH76	196	47.343
S25_SRF	FRAM_WSC20_S10_BML_bin_65_1	GH102	54	11.0883
S25_SRF	FRAM_WSC20_S10_BML_bin_65_1	GH77	28	6.58824
S25_SRF	FRAM_WSC20_S10_BML_bin_70_1	GH1	59	3.67601
S25_SRF	FRAM_WSC20_S10_BML_bin_72_1	CE11	135	1.31682
S25_SRF	FRAM_WSC20_S10_BML_bin_72_1	GH23	77	0.992268
S25_SRF	FRAM_WSC20_S10_BML_bin_72_1	GH3	904	3.73816
S25_SRF	FRAM_WSC20_S10_BML_bin_86_1	CE11	36	0.351151
S25_SRF	FRAM_WSC20_S10_BML_bin_86_1	GH103	295	7.18461
S25_SRF	FRAM_WSC20_S10_BML_bin_86_1	GH23	209	2.6933
S25_SRF	FRAM_WSC20_S10_BML_bin_86_1	GH3	93	0.384568
S25_SRF	FRAM_WSC20_S10_BML_bin_90_1	CE11	64	0.624268
S25_SRF	FRAM_WSC20_S10_BML_bin_90_1	CE4	44	6.88576
S25_SRF	FRAM_WSC20_S10_BML_bin_90_1	GH16_3	40	0.969697
S25_SRF	FRAM_WSC20_S10_BML_bin_90_1	GH3	4	0.0165405
